id,nickname,shortdescription,longdescription,address,hours
1,DRIVETHRU,ADAM CLAYTON,ADAM CLAYTON,"2379 Adam Clayton Powell Jr Blvd, New York, NY 10030",24 hours
2,ACP,125TH   7T,125TH & 7TH AVENUE,"148 W 125th Street, New York, NY 10029",24 hours
4,RIVERVIEW,145TH BDWY,145TH B-WAY,"3543-49 Broadway, New York, NY 10031",24 hours
5,BRACES,354 WEST 125TH,354 WEST 125TH,"354 W 125th St, New York, NY 10027",24 hours
6,COLUMBIA,125TH BRDW,125TH ST & BROADWAY RBD,"600a W. 125 Street Broadway, New York, NY 10027",24 hours
10,RAMP,158TH AND BROADW,158TH AND BROADWAY,"3809 Broadway, New York, NY 10032",24 hours
12,BIGMAC,MANHATTAN-3RD AV,MANHATTAN-3RD AV,"2142 3rd Ave, New York, NY 10027",24 hours
14,SHIP,NYC 4040 B,NYC-4040 BROADWY,"4040 Broadway, New York, NY 10033",24 hours
16,TITANIC,104TH & BROADWAY,104TH & BROADWAY,"2726 Broadway, New York, NY 10025",24 hours
17,103,NYC-1872 3RD AVE,NYC-1872 3RD AVE,"1872 3rd Ave, New York, NY 10029",24 hours
20,CHAMFER,MANHATTAN-BRDWAY,4259 BROADWAY (SW CORNER 181ST),"4259 Broadway, New York, NY 10033",24 hours
22,OG,MANHATTAN-96TH,MANHATTAN-96TH,"2549 Broadway, New York, NY 10025",24 hours
24,METROPOLITAN,1871 SECOND AVEN,1871 SECOND AVENUE(BETWEEN 96TH & 97TH),"1871 2nd Ave, New York, NY 10029",24 hours
29,CLOCK,MANHATTAN-84 & 3,MANHATTAN-84 & 3,"1499 3rd Ave, New York, NY 10028",24 hours
36,STRADDLER,DYCKMAN STREET,MANHATTAN-DYCKMN,"208 Dyckman St, Manhattan, NY 10040",24 hours
38,72ND,MANHATTAN-71ST,MANHATTAN-71ST,"2049 Broadway, New York, NY 10023",24 hours
40,SLOPER,606-612 207TH ST,606-612 W 207 ST,"608 West 207th Street, New York, NY 10034",24 hours
43,CORNELL,1ST & 69TH,1ST & 69TH,"1286 1st Ave, New York, NY 10021",24 hours
49,STIJL,MANHATTAN-58 & 3,MANHATTAN-58 & 3,"966 3rd Ave, New York, NY 10022",Mon 06:00 - 00:00; Tue 06:00 - 00:00; Wed 06:00 - 04:00; Thu 00:00 - 00:00; Fri 00:00 - 00:00; Sat 00:00 - 00:00; Sun 06:00 - 00:00
51,PUNCH,MANHATAN-946 8TH,MANHATAN-946 8TH,"946 8th Ave, New York, NY 10019",24 hours
53,CHURCH,51ST/BWY TIME SQ,51ST AND BRDWY - TIME SQUARE,"1651 Broadway (51st & Broadway), Manhattan, NY 10019",Mon 06:00 - 00:00; Tue 06:00 - 00:00; Wed 06:00 - 00:00; Thu 06:00 - 00:00; Fri 00:00 - 00:00; Sat 00:00 - 00:00; Sun 06:00 - 00:00
55,SHORTY,824 THIRD AVE,824 THIRD AVE,"824 3rd Avenue 50th St, New York, NY 10022",24 hours
58,CONNOLY'S,MANHATTAN-47 ST,MANHATTAN-47 ST,"14 E 47th St, Manhattan, NY 10017",Mon 06:00 - 23:00; Tue 06:00 - 23:00; Wed 06:00 - 23:00; Thu 06:00 - 23:00; Fri 06:00 - 23:00; Sat 06:00 - 23:00; Sun 06:00 - 23:00
59,WHORL,1188 6TH AVE,1188 6TH AVE,"1188 6th Ave, New York, NY 10036",24 hours
61,SHOWCASE,1530 BROAD,TIMES SQUARE 1528 BROADWAY,"1528 Broadway (Times Square), New York, NY 10036",24 hours
63,GIRAFFE,8TH & 42ND,"42ND AND 8TH-NEW YORK, NY","661 8th Ave, New York, NY 10036",24 hours
64,PIANO FACTORY,18 EAST 42ND STR,18 EAST 42ND STREET,"18 E 42nd St, New York, NY 10017",24 hours
65,7TH,MANH-7TH AV & 40,MANH-7TH AV & 40,"556 7th Ave, New York, NY 10018",Mon 06:00 - 00:00; Tue 06:00 - 00:00; Wed 06:00 - 00:00; Thu 06:00 - 04:00; Fri 00:00 - 00:00; Sat 00:00 - 00:00; Sun 06:00 - 00:00
70,B&H,MANH/8TH & 34TH,MANH/8TH & 34TH,"490 8th Ave, Manhattan, NY 10001",24 hours
71,MACY,MACY'S,151 WEST 34TH STREET,"151 West 34th Street (Macy'S 7th Floor), New York, NY 10001",24 hours
73,PENN,34TH/7TH - MSG,34TH/7TH - ACROSS FROM MSG,"429 7th Ave (Across From Msg), New York, NY 10001",24 hours
75,SHORTY II,NW YORK-3RD AVE,NW YORK-3RD AVE,"480 3rd Ave, New York, NY 10016",Mon 04:00 - 00:00; Tue 06:30 - 00:00; Wed 06:30 - 04:00; Thu 00:00 - 00:00; Fri 00:00 - 00:00; Sat 00:00 - 00:00; Sun 04:00 - 00:00
80,MCCAFE PUNK,NYC-809 6TH AVE,NYC-809 6TH AVE,"809 Ave Of The Americas, Manhattan, NY 10001",24 hours
81,PARK,PARK AVE-SO.,PARK AVE-SO.,"401 Park Ave S, New York, NY 10016",24 hours
84,SHORTY III,23 EAST 23RD ST.,26 EAST 23RD ST.,"26 E 23rd St, New York, NY 10010",Mon 07:00 - 23:00; Tue 07:00 - 23:00; Wed 07:00 - 23:00; Thu 07:00 - 23:00; Fri 07:00 - 00:00; Sat 07:00 - 00:00; Sun 07:00 - 23:00
85,MICHAELS,686 6TH AVE,686 6TH AVE,"686 6th Ave, New York, NY 10010",Mon 06:00 - 00:00; Tue 06:00 - 00:00; Wed 06:00 - 00:00; Thu 06:00 - 00:00; Fri 06:00 - 00:00; Sat 00:00 - 00:00; Sun 06:00 - 00:00
87,TALLBOY,MANHATTAN-23RD,MANHATTAN-23RD,"336 E 23rd St, New York, NY 10010",Mon 06:00 - 00:00; Tue 06:00 - 00:00; Wed 06:00 - 00:00; Thu 00:00 - 00:00; Fri 00:00 - 00:00; Sat 00:00 - 00:00; Sun 06:00 - 00:00
91,UNION,UNION SQUARE2702,MANHATTAN-UNION,"39 Union Square W, New York, NY 10003",Mon 06:00 - 00:00; Tue 06:00 - 00:00; Wed 06:00 - 00:00; Thu 06:00 - 00:00; Fri 06:00 - 00:00; Sat 06:00 - 00:00; Sun 06:00 - 00:00
93,OVERLAND,NYC-AVE OF AMRCS,NYC-AVE OF AMRCS,"541 6th Ave, New York, NY 10011",Mon 07:00 - 00:00; Tue 07:00 - 00:00; Wed 07:00 - 00:00; Thu 07:00 - 00:00; Fri 00:00 - 00:00; Sat 00:00 - 00:00; Sun 07:00 - 00:00
97,IMMACULATE,14TH & 1ST,14TH & 1ST,"404 E 14th St, New York, NY 10009",24 hours
101,NYU,724 BROADWAY,724 BROADWAY,"724 Broadway, New York, NY 10003",24 hours
102,VARICK,VARICK ST NYC,208 VARICK AND DOWNING STREET,"208 Varick St, New York, NY 10014",24 hours
103,麦当劳,MANHATTAN-CANAL,MANHATTAN-CANAL,"262 Canal St, New York, NY 10013",Mon 06:30 - 00:00; Tue 06:30 - 00:00; Wed 06:30 - 00:00; Thu 06:30 - 00:00; Fri 06:30 - 00:00; Sat 06:30 - 00:00; Sun 06:30 - 00:00
104,GREENHOUSE,MANHATTAN-1ST AV,MANHATTAN-1ST AV,"102 1st Ave, New York, NY 10009",Mon 07:00 - 00:00; Tue 07:00 - 00:00; Wed 07:00 - 00:00; Thu 00:00 - 00:00; Fri 00:00 - 00:00; Sat 00:00 - 00:00; Sun 07:00 - 00:00
105,DELANCEY,DELANCY ST,DELANCEY ST,"114 Delancey St, New York, NY 10002",24 hours
106,GREENWICH,CHAMBERS ST.,CHAMBERS ST.,"167 Chambers St (Chambers & Greenwich), New York, NY 10013",24 hours
107,OCCUPY,160 BROADWAY,160 BROADWAY,"160 Broadway, New York, NY 10038",24 hours
