from_mcd_id,to_mcd_id,distance_meters
1,2,1127.3730631719086
1,4,1526.574007333464
1,5,1509.4764507685134
1,6,2005.2497798894574
1,10,2475.165801016158
1,12,2705.826106807866
1,14,3143.164171203935
1,16,3706.1306204551015
1,17,3845.9264063308956
1,20,4061.5077082192506
1,22,4437.894061524536
1,24,4504.830879158958
1,29,5307.86085355987
1,36,5767.328172209113
1,38,6261.9379529085245
1,40,6061.063549480376
1,43,6847.597822413954
1,49,7498.413419700787
1,51,6961.405029510531
1,53,7373.902878696209
1,55,8143.823482986313
1,58,7968.802552032714
1,59,8014.765337371612
1,61,7941.991531459261
1,63,8080.2803835208915
1,64,8219.168968578773
1,65,8268.507130952505
1,70,8636.204248340218
1,71,8660.487730832829
1,73,8830.583777637781
1,75,9510.93603902451
1,80,9264.284695855551
1,81,9640.655691991373
1,84,9854.038850777824
1,85,9747.56545317995
1,87,10530.160216201099
1,91,10223.793396357853
1,93,10279.437274263584
1,97,11221.136087576182
1,101,11267.045632884297
1,102,11507.868746863782
1,103,12607.264517498226
1,104,11758.999179485703
1,105,12754.760213458472
1,106,13088.4037788609
1,107,13776.984729542086
2,1,1127.3730631719086
2,4,2529.3525524402035
2,5,420.2420392752699
2,6,1180.3669652034296
2,10,3506.8635346734773
2,12,1795.3901387812668
2,14,4174.861904861254
2,16,2578.7575572831934
2,17,2771.239419155434
2,20,5093.205441876569
2,22,3310.5209983526274
2,24,3462.351391440402
2,29,4230.657736039563
2,36,6894.701235381021
2,38,5134.564889736616
2,40,7188.436612652285
2,43,5897.3805910093115
2,49,6412.295926195196
2,51,5834.031966338623
2,53,6246.529815524301
2,55,7060.157280415964
2,58,6841.429488860806
2,59,6887.392274199704
2,61,6814.618468287353
2,63,6952.907320348983
2,64,7091.795905406865
2,65,7141.134067780597
2,70,7508.831185168309
2,71,7533.11466766092
2,73,7703.21071446587
2,75,8415.453825502245
2,80,8136.911632683642
2,81,8513.282628819465
2,84,8726.665787605916
2,85,8620.192390008042
2,87,9549.71618568077
2,91,9096.420333185944
2,93,9152.064211091676
2,97,10208.520356008647
2,101,10139.67256971239
2,102,10380.495683691874
2,103,11479.891454326318
2,104,10631.626116313795
2,105,11627.387150286564
2,106,11961.030715688992
2,107,12649.611666370178
4,1,1526.574007333464
4,2,2529.3525524402035
4,5,2109.1105131649338
4,6,1357.6124167166759
4,10,1126.7634792082213
4,12,4062.726311776223
4,14,2037.0580552632246
4,16,3344.0446700218727
4,17,4963.70407807478
4,20,2955.40159227854
4,22,4069.5575090324587
4,24,5654.816050359748
4,29,6423.12239495891
4,36,4853.50544151292
4,38,6072.070067960963
4,40,5417.514862283872
4,43,8089.8452499286595
4,49,8604.760585114544
4,51,7420.0686097167945
4,53,7888.267374850543
4,55,9250.865143225696
4,58,8996.009428464671
4,59,8529.129833525945
4,61,8456.356027613596
4,63,8538.943963727155
4,64,9157.470721722277
4,65,8782.87162710684
4,70,9094.867828546483
4,71,9174.852226987165
4,73,9344.948273792112
4,75,10330.770079658003
4,80,9778.649192009882
4,81,10266.414599347292
4,84,10373.54759642026
4,85,10261.929949334279
4,87,11285.591116607577
4,91,10743.302142000286
4,93,10793.801770417911
4,97,11855.402164822988
